Samples,Accuracy,Model
10,0.407273,Model 1
12,0.656364,Model 1
14,0.669091,Model 1
16,0.634545,Model 1
18,0.558182,Model 1
20,0.603636,Model 1
22,0.534545,Model 1
24,0.636364,Model 1
26,0.632727,Model 1
28,0.534545,Model 1
30,0.5,Model 1
10,0.854545,Model 2
12,0.878182,Model 2
14,0.912727,Model 2
16,0.941818,Model 2
18,0.867273,Model 2
20,0.834545,Model 2
22,0.878182,Model 2
24,0.874545,Model 2
26,0.76,Model 2
28,0.932727,Model 2
30,0.823636,Model 2
10,0.743636,Model 3
12,0.734545,Model 3
14,0.78,Model 3
16,0.798182,Model 3
18,0.78,Model 3
20,0.78,Model 3
22,0.78,Model 3
24,0.770909,Model 3
26,0.752727,Model 3
28,0.743636,Model 3
30,0.734545,Model 3
10,0.425455,Model 4
12,0.743636,Model 4
14,0.743636,Model 4
16,0.743636,Model 4
18,0.5,Model 4
20,0.425455,Model 4
22,0.425455,Model 4
24,0.5,Model 4
26,0.5,Model 4
28,0.5,Model 4
30,0.5,Model 4
